page_slug,page_url,marker,query_rows,clicks,impressions,share_visible_impressions,share_visible_clicks
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,relationship/roommate,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,emotion/politeness,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,emotion/conflict,0,0,0,0.0,0.0
group-payback-calculator,https://you-owe-me.com/tools/group-payback-calculator/,promised-money framing,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,product/app seeking,36,30,2010,0.38788112697800076,0.6521739130434783
homepage,https://you-owe-me.com/,tracking/record,9,0,23,0.004438440756464685,0.0
homepage,https://you-owe-me.com/,relationship/friend,2,0,4,0.0007719027402547279,0.0
homepage,https://you-owe-me.com/,calculation/splitting,1,0,1,0.00019297568506368199,0.0
homepage,https://you-owe-me.com/,repayment/plan,1,0,1,0.00019297568506368199,0.0
homepage,https://you-owe-me.com/,relationship/family,1,0,1,0.00019297568506368199,0.0
homepage,https://you-owe-me.com/,relationship/group,1,0,1,0.00019297568506368199,0.0
homepage,https://you-owe-me.com/,communication/reminder,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,definition/meaning,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,relationship/roommate,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,emotion/politeness,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,emotion/conflict,0,0,0,0.0,0.0
homepage,https://you-owe-me.com/,promised-money framing,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,calculation/splitting,7,0,20,0.3508771929824561,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,repayment/plan,6,0,10,0.17543859649122806,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,relationship/family,1,0,2,0.03508771929824561,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,relationship/group,1,0,2,0.03508771929824561,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,communication/reminder,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,tracking/record,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,definition/meaning,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,product/app seeking,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,relationship/friend,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,relationship/roommate,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,emotion/politeness,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,emotion/conflict,0,0,0,0.0,0.0
payment-plan-calculator,https://you-owe-me.com/tools/payment-plan-calculator/,promised-money framing,0,0,0,0.0,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,communication/reminder,155,60,5132,0.9873028087726049,1.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,relationship/friend,108,59,4541,0.8736052327818392,0.9833333333333333
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,promised-money framing,12,33,1395,0.26837245094267026,0.55
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,emotion/politeness,46,5,1001,0.19257406694882648,0.08333333333333333
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,product/app seeking,9,3,147,0.02828010773374375,0.05
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,emotion/conflict,4,0,21,0.004040015390534821,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,relationship/group,3,0,12,0.002308580223162755,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,relationship/family,3,0,4,0.0007695267410542517,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,tracking/record,1,0,1,0.00019238168526356292,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,repayment/plan,1,0,1,0.00019238168526356292,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,calculation/splitting,0,0,0,0.0,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,definition/meaning,0,0,0,0.0,0.0
remind-someone-owes-money,https://you-owe-me.com/blog/how-to-remind-someone-they-owe-you-money-politely/,relationship/roommate,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,repayment/plan,10,0,60,0.8955223880597015,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,relationship/family,3,0,8,0.11940298507462686,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,relationship/group,1,0,2,0.029850746268656716,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,communication/reminder,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,tracking/record,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,calculation/splitting,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,definition/meaning,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,product/app seeking,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,relationship/friend,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,relationship/roommate,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,emotion/politeness,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,emotion/conflict,0,0,0,0.0,0.0
repayment-receipt-generator,https://you-owe-me.com/tools/repayment-receipt-generator/,promised-money framing,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,relationship/roommate,7,0,69,0.8625,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,calculation/splitting,4,0,66,0.825,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,definition/meaning,1,0,3,0.0375,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,relationship/group,1,0,1,0.0125,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,communication/reminder,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,tracking/record,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,product/app seeking,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,repayment/plan,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,relationship/friend,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,relationship/family,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,emotion/politeness,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,emotion/conflict,0,0,0,0.0,0.0
roommate-bill-split-calculator,https://you-owe-me.com/tools/roommate-bill-split-calculator/,promised-money framing,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,calculation/splitting,6,0,51,0.4722222222222222,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,product/app seeking,3,0,21,0.19444444444444445,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,definition/meaning,1,0,1,0.009259259259259259,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,communication/reminder,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,tracking/record,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,repayment/plan,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,relationship/friend,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,relationship/family,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,relationship/roommate,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,relationship/group,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,emotion/politeness,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,emotion/conflict,0,0,0,0.0,0.0
running-balance-calculator,https://you-owe-me.com/tools/running-balance-calculator/,promised-money framing,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,definition/meaning,43,18,5330,0.7662449683726279,0.9473684210526315
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,tracking/record,1,0,1,0.0001437607820586544,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,calculation/splitting,1,0,1,0.0001437607820586544,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,relationship/family,1,0,1,0.0001437607820586544,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,relationship/group,1,0,1,0.0001437607820586544,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,communication/reminder,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,product/app seeking,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,repayment/plan,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,relationship/friend,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,relationship/roommate,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,emotion/politeness,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,emotion/conflict,0,0,0,0.0,0.0
running-balance-definition,https://you-owe-me.com/blog/what-is-a-running-balance-between-two-people/,promised-money framing,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,communication/reminder,72,7,1064,0.9349736379613357,0.875
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,relationship/friend,37,7,795,0.6985940246045694,0.875
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,emotion/politeness,23,0,189,0.16608084358523725,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,relationship/family,10,0,103,0.09050966608084358,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,relationship/group,2,0,30,0.026362038664323375,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,emotion/conflict,2,0,7,0.006151142355008787,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,definition/meaning,2,0,2,0.0017574692442882249,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,tracking/record,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,calculation/splitting,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,product/app seeking,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,repayment/plan,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,relationship/roommate,0,0,0,0.0,0.0
say-no-to-money-requests,https://you-owe-me.com/blog/how-to-politely-say-no-when-people-ask-for-money/,promised-money framing,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,calculation/splitting,61,3,319,0.8179487179487179,1.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,relationship/group,9,0,47,0.12051282051282051,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,relationship/family,7,0,45,0.11538461538461539,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,communication/reminder,1,0,28,0.07179487179487179,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,product/app seeking,4,0,13,0.03333333333333333,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,relationship/friend,2,0,7,0.017948717948717947,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,tracking/record,2,0,2,0.005128205128205128,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,definition/meaning,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,repayment/plan,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,relationship/roommate,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,emotion/politeness,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,emotion/conflict,0,0,0,0.0,0.0
split-expense-calculator,https://you-owe-me.com/tools/split-expense-calculator/,promised-money framing,0,0,0,0.0,0.0
